Name,Short Description,# of founders,date published,primary location,funding,current stage,accelerator/incubator,date range for government support
ERP Smart System,Comprehensive ERP and CRM service implementation systems backed by team of technology experts.,,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
Cookmenu,Making cooking easier than ever: search and find recipes according to the content of fridge.,,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
Holotec,AR-enabled game backed by blockchain technology which allows earning real world rewards and cryptocurrency while walking.,,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
LuMan,"Smart toy for kids connected to mobile app, empowered by personalized educational program.",,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
CARDY,"Business networking tool, which enables exchanging digital business cards with people around you.",,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
AdvPortal,Web-based open marketplace to choose a location and order ad poster and banner with just a few clicks.,,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
HelloSim,"International SIM card provider, which guarantees access to mobile and data roaming in more than 200 countries with cheapest prices.",,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
QuestTour,Game helping young people to discover countries and learn through the treasure-hunt game experience.,,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
WineNet,"Platform for the infrequent wine drinkers, that find themselves tarrying down the supermarket for the perfect wine.",,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
GrowFlex,"Portable aquaponics system, with high production scale efficiency, able to grow leafy greens organically in unused space of house owners of big cities.",,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
ChessMood,"Online store for chess enthusiasts, created by chess trainer with 10 years of experience",,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
ForestBerg,System designed to prevent unauthorized logging by detecting and locating chainsaw sound sources.,,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
Earlyone,Queue management system allowing businesses to increase the efficiency of the front-desk staff and reduce customers’ waiting time in the line.,,Fall 2017,"Yerevan, Armenia",,,Armenia Startup Academy,
InOne,Platform enabling loyalty and membership card collection on smartphones while serving as CRM for card issuer.,,Fall 2017,"Yerevan, Armenia",,,Armenia Startup Academy,
Breedge,"Personality-based career success platform for young talent, providing essential tools for efficient employer and student matching.",,Fall 2017,"Yerevan, Armenia",,,Armenia Startup Academy,
Wimedia,Platform creating globalized free WiFi in public areas while advertising to targeted audience on its network.,,Fall 2017,"Yerevan, Armenia",,,Armenia Startup Academy,
PicPen,AI and AR enabled educational coloring game bringing colored figures to life for boosting kids’ creativity.,,Fall 2017,"Yerevan, Armenia",,,Armenia Startup Academy,
AimHub,GitHub for AI: a platform helping AI practitioners to seamlessly operationalize their trained models.,,Fall 2017,"Yerevan, Armenia",,,Armenia Startup Academy,
Coach2All,Dynamic solution making professional level sport coaching scalable and affordable with AI.,,Fall 2017,"Yerevan, Armenia",,,Armenia Startup Academy,
WooChess,An innovative platform revolutionizing traditional chess training experience through full-functional virtual classroom.,,Fall 2017,"Yerevan, Armenia",,,Armenia Startup Academy,
ARize,Universal platform allowing everyone to create their own Augmented Reality right on mobile device.,,Fall 2017,"Yerevan, Armenia",,,Armenia Startup Academy,
Embry,The first weight alarm and activity tracker paired with a personal coach to prevent weight regain.,,Fall 2017,"Yerevan, Armenia",,,Armenia Startup Academy,
Himnark,"Online suite for automated payroll and HR, enhancing efficiency within the company through employee self-service.",,Fall 2017,"Yerevan, Armenia",,,Armenia Startup Academy,
Dzook,The startup uses an AI algorithm to create characters and artworks to increase the productivity of artists and designers in different fields.,,Fall 2019,"Yerevan, Armenia",,,Hero House AI Incubator,
CoinStats,"Coin Stats is the #1 free Bitcoin & cryptocurrency portfolio tracking app.

Track Bitcoin, Ethereum, Litecoin, and over 7,000 altcoins prices from over 250 exchanges. Use your local currency and sync your favorite exchanges and wallets automatically to your CoinStats portfolio so you don’t have to manually add your transactions. See everything in real-time in the app",,Fall 2019,"Yerevan, Armenia",,,Hero House AI Incubator,
Velvioo,The startup uses generative adversarial networks (GANs) to create virtual influencers by generating faces and adding them to real photos with the help of photoshop.,,Fall 2019,"Yerevan, Armenia",,,Hero House AI Incubator,
EasyDMARC,"Software as a service to implement the most powerful and effective email authentication system, called DMARC, to block email scams and phishing.",,Fall 2019,"Yerevan, Armenia",,,Hero House AI Incubator,
RetentionForce,A B2B SaaS product with personalized marketing automation and customer care solution for small and medium-sized businesses using chatbots.,,Fall 2019,"Yerevan, Armenia",,,Hero House AI Incubator,
Embry Tech,"A technology to turn any shoes into biometric data tracking and wellness monitoring device. The only hardware+software solution that allows 100% consistency with weight tracking, along with other physical activity tracking.",,Fall 2019,"Yerevan, Armenia",,,Hero House AI Incubator,
Exxper Technologies,"A B2B robotics company that creates robots for corporate businesses. Robin the Robot helps businesses optimize expenses without the involvement of human resources, ensuring 24/7 customer service.",,Fall 2019,"Yerevan, Armenia",,,Hero House AI Incubator,
DISQO,DISQO provides BEHAVIORAL and OPINION data empowering clients to discover what consumers do and how they think.,3,2014,"Yerevan, Armenia","Alpha Edison, Bonfire Ventures",,,
SuperAnnotate,SuperAnnotate AI provides super-fast (10-20x) and pixel accurate image annotation based on our AI-powered one-click object selection tech.,2,"Sep, 2018","Berkeley, California, United States",Seed,,,
IntelinAir,"IntelinAir, Inc., is an aerial imagery analytics company focused on agriculture that delivers actionable intelligence to help farmers make data-driven decisions to improve operational efficiency, yields, and ultimately their profitability.",1,2015,"San Jose, California, United States",Seed,,,
Chessify,"Chessify is a multi-service chess platform revolutionizing the chess experience with its unique chessboard scanner tool, flexible cloud analysis service and AI engine.",2,2015,"San Francisco, California, United States",Grant,,,
Krisp,"Krisp recognizes and removes background noise in calls in real-time, leaving only clean human voice. Its AI-powered noise canceling technology adapts to your voice and improves over time.",2,"Oct, 2017","Berkeley, California, United States",Series A,,,
Develandoo,"Develandoo is the leading AI company in Armenia. As an innovation lab, Develandoo has successfully created over 30 products for global enterprises such as KPIT Germany and Welocalize USA.",4(?),,,,,,
Disperse.ai,"Disperse is a VC-backed artificial intelligence construction startup focused on transforming construction to become integrated, dynamic and effective.",2,2015,"London, England, United Kingdom",Series A,,,
TruePublic,"TruePublic is a revolutionary new way to understand the honest views, actions, and insights of people across America. No 'paid survey takers', just honest answers.",3,2018,"Chicago, Illinois, United States",Seed,,,
ZERØ,ZERØ is a technology company that offers the only mobile-first AI-powered solutions engineered to help law firms achieve operational excellence.,3,"Oct, 2014","Los Gatos, California, United States",Undisclosed,,,
IUNetwork,"Custom Software Development, Electrical Engineering, Networking and Security Solutions, Hardware and Software Distribution - these are the main services that IUnetworks offers to its clients.",,2008,"Yerevan, Armenia",,,,
Questrade,"Questrade Wealth Management Inc. is a registered Portfolio Manager, Investment Fund Manager, and Exempt Market Dealer.",,,,,,,
Sololearn,"SoloLearn is an innovative community learning platform, which breaks the stereotypes of institutional instructor-centric learning and creates a student-centric open crowd-learning that provides for fast, effective and fun learning experience available anytime anywhere for free.",2,2014,"Pleasanton, California, United States",,,,
Teamable,"At Teamable, we are committed to making referral recruiting intuitive and fun. The Teamable platform transforms employees’ social networks into dynamic talent pools that drive high employee engagement and make referring relevant candidates easy.",4,"Dec 1, 2013","San Francisco, California, United States",,,,
Benivo,"Benivo is an #HRTech company dedicated to helping talent managers, recruiters, compensation & benefits, human resources and global mobility professionals improve employee experience and make every employee feel welcome.",2,"Jun 1, 2010","London, England, United Kingdom",Venture,,,
MentorcliQ,"MentorcliQ is a mentoring software solution that helps organizations launch, support, and grow high-impact employee mentoring programs. Our approach drives employee participation and satisfaction through an engaging user experience and supporting training resources.",3,2012,"Columbus, Ohio, United States",Undisclosed,,,
CodeSignal,CodeSignal is the first company to develop an objective automated skills-based assessment platform that can be used as a standard for technical recruiters and employers.,4,2015,"San Francisco, California, United States",,,,
Lucky Carrot,"Lucky Carrot is an employee recognition, appreciation and reward platform aiming to help teams and organizations improve their culture with peer to peer recognition.",,Oct 2018,"Yerevan, Armenia",Pre-Seed,,,
CodeTrace,providing software companies an opportunity to easily and quickly identify top engineering talents in local and international markets.,1,"May 1, 2017","Yerevan, Armenia",Grant,,,
